registry_version,snapshot_date,symbol,name,exchange,listing_date,tracked_index,index_family,direction,proxy_symbol,proxy_path,proxy_type,proxy_available_date,proxy_source_url,active,product_type,source_as_of,source_url
annual-etf-registry-20260817-v1,2026-08-17,159629,富国中证1000ETF,SZ,2022-08-03,中证1000指数,csi1000,a_mid_small,512100,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,159915,易方达创业板ETF,SZ,2011-12-09,创业板指数,chinext,a_growth,,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,159949,华安创业板50ETF,SZ,2016-07-22,创业板50指数,chinext50,a_growth,,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,588000,华夏上证科创板50ETF,SH,2020-11-16,上证科创板50成份指数,star50,a_growth,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,510880,华泰柏瑞上证红利ETF,SH,2007-01-18,上证红利指数,dividend,smart_beta,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,510030,华宝上证180价值ETF,SH,2010-05-28,上证180价值指数,value,smart_beta,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,512890,华泰柏瑞红利低波ETF,SH,2019-01-18,中证红利低波动指数,low_volatility,smart_beta,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,159201,华夏国证自由现金流ETF,SZ,2025-02-27,国证自由现金流指数,free_cash_flow,smart_beta,,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,159920,华夏恒生ETF,SZ,2012-10-22,恒生指数,hang_seng,other_overseas,,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,513030,华安德国ETF,SH,2014-08-08,德国DAX指数,dax,other_overseas,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,513520,华夏野村日经225ETF,SH,2019-06-12,日经225指数,nikkei225,other_overseas,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,518880,华安黄金ETF,SH,2013-07-29,上海黄金交易所黄金现货合约,gold_spot,gold,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,518800,国泰黄金ETF,SH,2013-07-29,上海黄金交易所黄金现货合约,gold_spot,gold,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,159934,易方达黄金ETF,SZ,2013-12-16,上海黄金交易所黄金现货合约,gold_spot,gold,518880,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,518850,华夏黄金ETF,SH,2020-06-05,上海黄金交易所黄金现货合约,gold_spot,gold,518880,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
